TranscriptId	GeneSym
rna-XM_038213760.1	LOC119738799
rna-XM_038213035.1	LOC119738241
rna-XM_038191738.1	LOC119721779
rna-XM_038198059.1	LOC119726405
rna-XM_038202275.1	LOC119729629
rna-XM_038217990.1	LOC119741996
rna-XM_038210716.1	LOC119736702
rna-XM_038189107.1	LOC119719614
rna-XM_038210166.1	LOC119736150
rna-XM_038220410.1	LOC119744471
rna-XR_005273052.1	LOC119743543
rna-XM_038209558.1	LOC119735703
rna-XM_038189661.1	LOC119720113
rna-XM_038203445.1	LOC119730493
rna-XM_038216962.1	LOC119741223
rna-XM_038209243.1	LOC119735517
rna-XM_038191500.1	LOC119721421
rna-XM_038203952.1	LOC119730886
rna-XM_038199186.1	LOC119727333
rna-XM_038191705.1	LOC119721739
rna-XM_038191882.1	LOC119721927
rna-XM_038203146.1	LOC119730313
rna-XM_038204222.1	LOC119731167
rna-Trnaa-ggc-35	Trnaa-ggc
rna-XM_038222737.1	LOC119745993
rna-XR_005270927.1	LOC119727247
rna-XM_038207884.1	LOC119734388
gene-LOC119743359	LOC119743359
rna-XM_038215974.1	LOC119740610
rna-XM_038217067.1	LOC119741317
rna-XM_038218630.1	LOC119742560
rna-XM_038209906.1	LOC119735943
rna-XM_038217051.1	LOC119741301
rna-XM_038201111.1	LOC119728744
rna-XM_038202052.1	LOC119729484
rna-XM_038211047.1	LOC119737000
rna-XM_038202267.1	LOC119729622
rna-XM_038199080.1	LOC119727207
gene-LOC119743076	LOC119743076
rna-XM_038216475.1	LOC119740957
rna-XM_038219458.1	LOC119743104
rna-XM_038220717.1	LOC119744424
rna-XM_038194221.1	LOC119723516
rna-Trnaa-agc-42	Trnaa-agc
rna-XM_038220394.1	LOC119744460
rna-XM_038201679.1	LOC119729153
rna-XM_038195761.1	LOC119724630
rna-XM_038205321.1	LOC119731979
rna-XM_038198977.1	LOC119727111
rna-XM_038214422.1	LOC119739459
rna-XM_038221694.1	LOC119745379
rna-XM_038217857.1	LOC119741911
rna-XM_038199729.1	LOC119727711
rna-XM_038215703.1	LOC119740409
rna-XM_038200952.1	LOC119728639
rna-XM_038199453.1	LOC119727541
rna-XM_038208177.1	LOC119734631
rna-XM_038192664.1	LOC119722508
rna-XM_038201624.1	LOC119729107
rna-XR_005270161.1	LOC119721100
rna-XM_038191506.1	LOC119721424
rna-XM_038216211.1	LOC119740787
rna-XM_038189798.1	LOC119720210
rna-XM_038198736.1	LOC119726882
rna-XM_038210751.1	LOC119736739
rna-XM_038194970.1	LOC119724048
rna-XM_038217863.1	LOC119741916
rna-XM_038210878.1	LOC119736869
rna-XM_038202575.1	LOC119729801
rna-XM_038197930.1	LOC119726286
rna-XM_038203696.1	LOC119730698
rna-XM_038199489.1	LOC119727563
rna-Trnap-cgg-3	Trnap-cgg
rna-XM_038207376.1	LOC119733993
rna-XR_005273189.1	LOC119743751
rna-XM_038205153.1	LOC119731869
rna-XM_038219771.1	LOC119743383
rna-XM_038223151.1	LOC119746290
rna-XM_038203711.1	LOC119730707
rna-XR_005273374.1	LOC119743949
rna-XM_038199870.1	LOC119727804
rna-XM_038192928.1	LOC119722678
rna-XM_038204910.1	LOC119731696
rna-XM_038202332.1	LOC119729666
rna-XM_038212043.1	LOC119737588
rna-XM_038201379.1	LOC119728934
rna-XM_038208911.1	LOC119735206
rna-XM_038213972.1	LOC119739143
rna-XM_038199886.1	LOC119727817
rna-XM_038210577.1	LOC119736563
rna-XR_005271099.1	LOC119728642
rna-XM_038218499.1	LOC119742530
rna-XM_038201279.1	LOC119728857
rna-XM_038200605.1	LOC119728387
rna-XR_005271132.1	LOC119728719
rna-XR_005270380.1	LOC119722053
rna-XR_005273456.1	LOC119744036
rna-XM_038216385.1	LOC119740909
rna-XM_038218869.1	LOC119742702
rna-XM_038210361.1	LOC119736311
rna-XM_038194161.1	LOC119723481
rna-XM_038216818.1	LOC119741127
rna-XR_005273690.1	LOC119746073
rna-XM_038217359.1	LOC119741559
rna-XM_038189678.1	LOC119720124
rna-XM_038208913.1	LOC119735208
rna-XM_038209890.1	LOC119735934
rna-XM_038199659.1	LOC119727667
rna-XM_038193852.1	LOC119723304
rna-XM_038193256.1	LOC119722864
rna-XM_038190040.1	LOC119720380
rna-XM_038191426.1	LOC119721369
rna-XM_038194282.1	LOC119723566
rna-XM_038207323.1	LOC119733957
rna-XR_005271705.1	LOC119733206
rna-XM_038195726.1	LOC119724609
rna-XM_038216668.1	LOC119741053
rna-XM_038192420.1	LOC119722353
rna-XM_038190201.1	LOC119720513
rna-XM_038201869.1	LOC119729266
rna-XM_038194318.1	LOC119723591
rna-XM_038198403.1	LOC119726643
rna-XM_038209354.1	LOC119735592
rna-XM_038210779.1	LOC119736765
rna-XM_038195612.1	LOC119724521
rna-XM_038219940.1	LOC119743519
rna-XM_038219500.1	LOC119743137
rna-XM_038192309.1	LOC119722267
rna-XM_038196901.1	LOC119725496
gene-LOC119722254	LOC119722254
rna-XM_038211224.1	LOC119737122
rna-XM_038218903.1	LOC119742735
rna-XM_038216075.1	LOC119740694
rna-XR_005272499.1	LOC119738742
rna-XM_038197953.1	LOC119726304
rna-XM_038201570.1	LOC119729067
rna-XM_038189682.1	LOC119720128
rna-XM_038208865.1	LOC119735130
rna-XM_038211134.1	LOC119737061
rna-Trnal-cag-12	Trnal-cag
rna-XM_038222474.1	LOC119745845
gene-LOC119728052	LOC119728052
rna-XR_005270102.1	LOC119720595
rna-XM_038201282.1	LOC119728857
rna-XM_038192514.1	LOC119722408
rna-XM_038213947.1	LOC119739119
rna-XM_038188777.1	LOC119719353
rna-XM_038211720.1	LOC119737394
rna-XM_038218269.1	LOC119742271
rna-XM_038212519.1	LOC119737879
rna-XM_038207434.1	LOC119734070
rna-XR_005273400.1	LOC119743977
rna-XM_038194308.1	LOC119723584
rna-XM_038206712.1	LOC119733138
rna-XM_038193065.1	LOC119722761
rna-Trnag-gcc-8	Trnag-gcc
rna-XM_038210088.1	LOC119736082
rna-XM_038223186.1	LOC119746310
rna-XR_005273071.1	LOC119743607
rna-XM_038215831.1	LOC119740505
rna-XM_038210149.1	LOC119736138
rna-XM_038189254.1	LOC119719765
rna-XM_038191120.1	LOC119721196
rna-XM_038203397.1	LOC119730473
gene-LOC119720402	LOC119720402
rna-XM_038198690.1	LOC119726834
rna-XM_038198683.1	LOC119726825
rna-XM_038202751.1	LOC119729958
rna-XM_038202613.1	LOC119729804
rna-Trnad-guc-4	Trnad-guc
rna-XM_038204932.1	LOC119731713
rna-XM_038200925.1	LOC119728621
rna-XM_038220709.1	LOC119744651
rna-XM_038213021.1	LOC119738231
rna-Trnat-agu-6	Trnat-agu
rna-XM_038204962.1	LOC119731731
rna-XM_038218059.1	LOC119742042
rna-XM_038196518.1	LOC119725157
rna-XM_038220493.1	LOC119744531
rna-XM_038196906.1	LOC119725501
rna-XM_038208759.1	LOC119735067
rna-XM_038212625.1	LOC119737947
rna-XM_038222321.1	LOC119745747
rna-XR_005271866.1	LOC119733498
rna-XM_038190303.1	LOC119720577
rna-XM_038220539.1	LOC119744563
rna-XM_038202925.1	LOC119730153
rna-XM_038218655.1	LOC119742554
rna-XM_038190214.1	LOC119720518
rna-XR_005273596.1	LOC119744843
rna-XM_038206715.1	LOC119733142
rna-XM_038221017.1	LOC119744844
rna-XM_038202023.1	LOC119729459
rna-XM_038213475.1	LOC119738568
rna-XM_038222067.1	LOC119745591
