TranscriptId	GeneSym
rna-XM_030988218.1	LOC115925068
rna-XM_030977538.1	LOC105444465
rna-XR_004061961.1	LOC115919612
rna-XR_004061893.1	LOC115919527
rna-XM_030981307.1	LOC115918511
rna-XM_030976300.1	LOC755937
rna-XM_030982736.1	LOC115922945
rna-TRNAR-UCU-20	TRNAR-UCU
rna-XM_030993001.1	LOC115927279
rna-XM_011683247.2	LOC100891192
rna-XM_030972255.1	LOC115919171
rna-XM_030985310.1	LOC100893242
rna-XM_030981575.1	LOC115922553
rna-XR_004064563.1	LOC115925147
rna-XM_030979265.1	LOC589503
rna-XM_030984165.1	LOC105443558
rna-XM_030990517.1	LOC115926093
rna-XM_011679374.2	LOC587387
rna-XM_003724779.3	LOC100891530
rna-XM_030995758.1	LOC115928503
rna-XM_030990586.1	LOC100891869
rna-XM_030990044.1	LOC579943
rna-XM_030976969.1	LOC105436756
rna-XM_780668.5	LOC580620
rna-XM_030982892.1	LOC762884
rna-XM_030973202.1	LOC100891166
rna-XM_030986159.1	LOC105441787
rna-XM_030988634.1	LOC115925184
rna-XM_030997765.1	LOC579530
rna-XM_030982393.1	LOC115922773
rna-XM_030994036.1	LOC115918906
rna-XM_030976871.1	LOC575959
rna-TRNAM-CAU-25	TRNAM-CAU
rna-XM_789030.5	LOC589388
rna-XR_004064464.1	LOC115924906
rna-XM_030975256.1	LOC589767
rna-XM_030977134.1	LOC574929
rna-XM_030983415.1	LOC115923142
rna-XM_030998097.1	LOC755030
rna-XM_788786.4	LOC589136
rna-XM_030990511.1	LOC115926091
rna-XM_030976167.1	LOC100893432
rna-XM_011681809.2	LOC583658
rna-XM_011685258.2	LOC105447351
rna-XM_030990277.1	LOC753568
rna-XR_004061892.1	LOC115919523
rna-XR_004062828.1	LOC753378
rna-XR_004064467.1	LOC115924912
rna-XM_030978554.1	LOC115921254
rna-XM_030982113.1	LOC587143
rna-XM_030994915.1	LOC105439435
rna-TRNAM-CAU-45	TRNAM-CAU
rna-XM_030992554.1	LOC115918850
rna-XM_030981265.1	LOC105438659
rna-XM_030996706.1	LOC115928797
rna-XM_011680625.2	LOC105436421
rna-XM_030987460.1	LOC115923689
rna-XM_030977902.1	LOC756989
rna-XM_030978199.1	LOC589155
rna-TRNAK-UUU-17	TRNAK-UUU
rna-XM_030987623.1	LOC756308
rna-XM_795313.5	LOC586717
rna-XM_011668089.2	LOC755786
rna-XM_030999822.1	LOC100891694
rna-XM_011674282.2	sia4
rna-XM_030984828.1	LOC100893987
rna-XM_030994502.1	LOC100889098
rna-NM_001146195.2	LOC590977
rna-XM_030972145.1	LOC578539
rna-XM_030991783.1	LOC576920
rna-XR_004064054.1	LOC578742
rna-XM_030976402.1	LOC581693
rna-XM_030987244.1	LOC755028
rna-XM_030984199.1	LOC577336
rna-XM_011663208.2	SpP19L
rna-XM_030978664.1	LOC115918445
rna-XM_030982809.1	LOC576799
rna-XM_030999039.1	LOC582897
rna-XR_004063247.1	LOC115921982
rna-XR_004063802.1	LOC115923127
rna-XM_030989829.1	LOC100888750
rna-XM_030992205.1	LOC585914
rna-XM_030994249.1	LOC115927906
rna-XM_011673207.1	LOC105441765
rna-XR_004062157.1	LOC115920067
rna-XM_030972983.1	LOC754102
rna-XR_004066747.1	LOC115929804
rna-XM_030980000.1	LOC115921790
rna-XM_011682103.2	LOC580818
rna-XM_030999635.1	LOC576577
rna-XM_778629.5	LOC578464
rna-XM_793904.5	LOC594464
rna-XM_030991463.1	LOC115926604
rna-XM_003729408.3	LOC100889053
rna-XM_030984505.1	LOC589151
rna-XR_004062852.1	LOC753378
rna-XR_004066161.1	LOC115928669
rna-XM_030990642.1	LOC115926128
rna-XR_004063922.1	LOC115923507
rna-XM_001187514.2	LOC754891
rna-XM_030986525.1	LOC115924438
rna-XM_031000131.1	LOC580842
rna-XM_030976344.1	LOC585955
rna-XM_011664054.1	LOC105437455
rna-XM_030989418.1	LOC115925476
rna-XM_030974870.1	LOC115920019
rna-XM_011675836.2	LOC105443040
rna-XR_004066182.1	LOC115928693
rna-XM_030990061.1	LOC593477
rna-XM_030998072.1	LOC105446497
rna-XM_011682865.2	FRK
rna-XM_011670821.2	bf
rna-XM_011685715.2	LOC105447528
rna-XM_003729877.3	LOC100893353
rna-XM_030996735.1	LOC115919005
rna-XM_030984528.1	LOC105439964
rna-XM_011664189.2	LOC105437518
rna-XM_030988391.1	LOC576912
rna-XR_971529.2	LOC105440104
rna-XM_011666835.2	LOC105438691
rna-XM_030984211.1	LOC591448
rna-XM_030999526.1	LOC754637
rna-XM_001198512.4	LOC762767
rna-XM_030980731.1	LOC584285
rna-XM_030992054.1	LOC763846
rna-XM_781988.5	LOC582011
rna-XM_030978962.1	LOC115921462
rna-XM_030990578.1	LOC115926111
rna-XM_030978458.1	LOC752963
rna-XM_030991628.1	LOC591930
rna-XM_030979660.1	LOC105436866
rna-XR_004062823.1	LOC115921217
